Date,Open,High,Low,Close,Volume,MA_10,MA_30,K,D,covid
2020-02-03,11365.90039,11365.90039,11138.03027,11354.91992,3472200.0,11895.744920999972,11947.309960666644,10.78541882869809,23.91020010614953,0
2020-02-04,11399.45996,11581.36035,11393.03027,11555.91992,2731100.0,11848.871873999975,11942.48164033331,24.37491220188018,19.86887132004815,1
2020-02-05,11601.54981,11620.41992,11512.70996,11573.62012,2624400.0,11794.891893999975,11933.721646999975,39.13886490340565,24.76639864466162,0
2020-02-06,11605.11035,11749.67969,11605.11035,11749.67969,2305400.0,11751.878905999973,11927.786620999976,65.338066760263,42.950614621849915,5
2020-02-07,11712.70996,11712.70996,11592.08984,11612.80957,2182700.0,11703.971874999976,11916.887955666643,77.4667215061822,60.6478843899506,0
2020-02-10,11514.71973,11598.03027,11423.33984,11574.07031,2328300.0,11654.685936999975,11899.456640333308,76.12804232111891,72.97761019585502,2
2020-02-11,11614.25,11678.58008,11614.25,11664.04004,1845400.0,11612.060936999973,11887.627961999973,67.38055101719134,73.6584382814978,0
2020-02-12,11693.40039,11801.51953,11693.40039,11774.19043,2120500.0,11577.608983999973,11881.464973666643,72.43079500062406,71.97979611297842,0
2020-02-13,11813.5,11854.98047,11784.94043,11791.78027,2132400.0,11614.612987999973,11873.783300333309,83.96306153011389,74.59146918264341,0
2020-02-14,11806.51953,11840.79004,11788.87012,11815.7002,1697100.0,11646.673046999973,11868.427310999974,89.6771443865249,82.02366697242127,0
2020-02-17,11770.29981,11775.55957,11724.82031,11763.50977,1837200.0,11687.532031999974,11860.273307333306,79.42025864132832,84.35348818598935,4
2020-02-18,11700.91016,11717.09961,11642.9502,11648.98047,1882600.0,11696.838086999973,11848.538997333306,51.91556431383412,73.67098911389607,0
2020-02-19,11655.37012,11783.42969,11654.16016,11758.83984,2169000.0,11715.360058999973,11837.44733066664,39.83467956789936,57.056834174354236,2
2020-02-20,11785.78027,11827.83008,11714.15039,11725.08984,2035400.0,11712.901073999974,11826.504654666644,33.00647721173774,41.585573697824046,0
2020-02-21,11721.16016,11755.16992,11661.62988,11686.34961,1952700.0,11720.255077999973,11816.14498666664,39.88325104375526,37.57480260779776,0
2020-02-24,11615.28027,11615.28027,11512.08008,11534.87012,2347100.0,11716.335058999974,11797.291308333306,24.07012697671567,32.319951744069854,6
2020-02-25,11506.74023,11567.08984,11415.46973,11540.23047,2158400.0,11703.954101999972,11778.284667666641,20.315800425086238,28.089726148519357,1
2020-02-26,11433.62012,11433.62012,11433.62012,11433.62012,2640000.0,11669.897070999974,11760.959993333303,13.958201187871973,19.44804286322493,1
2020-02-27,11436.95996,11470.23047,11274.51953,11292.16992,3360600.0,11619.936035999974,11741.354980333306,12.776348063014169,15.683449891991096,0
2020-03-02,11184.66016,11282.04981,11049.84961,11170.45996,3204100.0,11555.412011999975,11719.800325333308,9.801493073991619,12.17868077495956,9
2020-03-03,11279.86035,11390.24023,11279.86035,11327.71973,2572300.0,11511.833007999972,11698.369986999976,26.241523480976753,16.273121539327818,1
2020-03-04,11368.25,11392.34961,11297.80957,11392.34961,2245300.0,11486.169921999975,11677.293294333303,52.17537316171323,29.406129905560842,0
2020-03-05,11454.65039,11525.32031,11454.65039,11514.82031,2291000.0,11461.767968999975,11657.339973999973,77.66235860665655,52.02641841644915,2
2020-03-06,11471.36035,11471.36035,11310.32031,11321.80957,2518500.0,11421.439941999974,11628.739973999973,78.8211493609389,69.55296037643653,1
2020-03-09,11221.75977,11221.75977,10977.63965,10977.63965,3897400.0,11350.568945999974,11591.59863299997,51.6632367322178,69.3822482332714,0
2020-03-10,10907.62012,11032.46973,10830.21973,11003.54004,3544100.0,11297.435937999973,11556.152311333302,27.37753791682759,52.62064133666174,2
2020-03-11,11022.82031,11088.23047,10885.91016,10893.75,2804700.0,11232.787890999973,11516.267643333304,11.358096310800596,30.13295698661564,1
2020-03-12,10845.38965,10845.38965,10359.66992,10422.32031,4844200.0,11131.657909999973,11459.721321666635,13.236628568502312,17.324087598710474,1
2020-03-13,10091.03027,10171.2002,9636.150391,10128.87012,5906200.0,11015.327929999974,11416.625651333303,15.283263756311975,13.292662878538598,1
2020-03-16,10069.41992,10130.79981,9717.769531,9717.769531,3783600.0,10870.058887099973,11357.381315366636,14.11030360656792,14.21006531046104,17
2020-03-17,9538.639648,9677.070313,9371.349609,9439.629883,4504100.0,10681.249902399974,11293.5383141333,13.557436504226851,14.317001289035886,10
2020-03-18,9453.980469,9509.610352,9218.669922,9218.669922,3991000.0,10463.881933599972,11215.629980866634,3.1992794548375363,10.28900652187774,23
2020-03-19,9085.280273,9085.280273,8523.629883,8681.339844,5702600.0,10180.533886999972,11119.220638333301,4.516423477331505,7.091046478798937,8
2020-03-20,8816.860352,9264.419922,8816.860352,9234.089844,4683400.0,9971.761914399973,11035.367643466634,17.925975987601074,8.547226306590344,27
2020-03-23,9025.549805,9029.519531,8750.139648,8890.030273,136500.0,9763.000976699974,10944.608333566635,28.5145993925682,16.9856662858339,60
2020-03-24,9083.780273,9415.639648,9083.780273,9285.620117,2920600.0,9591.208984399971,10868.326660466635,51.084670280964424,32.508415220378204,21
2020-03-25,9426.429688,9722.370117,9426.429688,9644.75,3565400.0,9466.308984399971,10801.016992466635,67.52440570918911,49.041225127574215,19
2020-03-26,9667.139648,9739.730469,9565.019531,9736.360352,2795400.0,9397.712988599971,10733.089323199969,90.15559676596772,69.58822425204072,17
2020-03-27,9807.900391,9954.860352,9691.139648,9698.919922,3349400.0,9354.717968799974,10663.327311599971,90.64650293984889,82.77550180500221,15
2020-03-30,9571.219727,9655.700195,9415.519531,9629.429688,2274000.0,9345.883984499975,10590.451627866634,80.35173557382456,87.05127842654736,39
2020-03-31,9689.620117,9789.80957,9630.299805,9708.05957,2882300.0,9372.726953199974,10521.936621199968,65.212018619353,78.73675237767576,16
2020-04-01,9726.200195,9736.0,9663.629883,9663.629883,2434800.0,9417.222949299974,10455.75826829997,54.294455514763605,66.61940323598068,7
2020-04-06,9707.75,9818.740234,9651.519531,9818.740234,2987300.0,9530.962988299974,10391.0882814333,58.3348572460455,59.28044379338766,44
2020-04-07,9928.160156,10039.15039,9928.160156,9996.389648,3205000.0,9607.192968699974,10333.464941699965,71.30251331591319,61.31060869224106,3
2020-04-08,10010.63965,10149.75977,9984.660156,10137.46973,3117000.0,9731.936914399974,10281.835612366634,88.51303226508966,72.71680094234974,3
